,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2025-04-01T00:00:00,20.9,99,898.7,0.0,241,0.8
1,2025-04-01T01:00:00,20.9,97,897.98,0.0,269,1.0
2,2025-04-01T02:00:00,19.9,99,897.07,0.0,314,1.2
3,2025-04-01T03:00:00,19.2,99,896.82,0.0,321,1.1
4,2025-04-01T04:00:00,18.6,100,896.83,0.0,273,0.9
5,2025-04-01T05:00:00,18.3,99,897.06,0.0,284,0.8
6,2025-04-01T06:00:00,18.1,99,897.46,0.0,262,0.2
7,2025-04-01T07:00:00,19.0,97,898.08,0.0,130,0.3
8,2025-04-01T08:00:00,24.5,66,898.7,0.0,100,0.3
9,2025-04-01T09:00:00,27.5,48,899.4,0.0,77,1.2
10,2025-04-01T10:00:00,29.5,36,899.1,0.0,62,1.3
11,2025-04-01T11:00:00,31.0,30,898.92,0.0,63,2.3
12,2025-04-01T12:00:00,31.7,27,897.99,0.0,61,3.2
13,2025-04-01T13:00:00,32.2,25,896.97,0.0,61,3.7
14,2025-04-01T14:00:00,32.6,24,895.86,0.0,57,4.1
15,2025-04-01T15:00:00,32.5,24,894.92,0.0,54,3.4
16,2025-04-01T16:00:00,31.5,25,894.24,0.0,69,1.3
17,2025-04-01T17:00:00,28.0,40,894.54,0.0,238,2.3
18,2025-04-01T18:00:00,23.0,81,895.73,0.0,240,4.2
19,2025-04-01T19:00:00,22.0,88,896.71,0.0,258,2.7
20,2025-04-01T20:00:00,21.7,93,897.67,0.0,255,2.9
21,2025-04-01T21:00:00,21.2,95,898.35,0.0,255,1.7
22,2025-04-01T22:00:00,21.1,96,898.97,0.0,270,1.7
23,2025-04-01T23:00:00,21.4,96,898.89,0.0,252,1.7
24,2025-04-02T00:00:00,21.4,97,898.45,0.0,247,1.2
25,2025-04-02T01:00:00,21.4,95,897.68,0.0,254,1.2
26,2025-04-02T02:00:00,21.1,95,896.94,0.0,269,1.3
27,2025-04-02T03:00:00,20.2,99,896.53,0.0,265,0.8
28,2025-04-02T04:00:00,20.2,97,896.65,0.0,260,1.1
29,2025-04-02T05:00:00,20.3,96,897.23,0.0,279,0.5
30,2025-04-02T06:00:00,20.3,95,897.95,0.0,99,0.8
31,2025-04-02T07:00:00,20.8,92,898.6,0.0,115,0.8
32,2025-04-02T08:00:00,22.5,82,899.63,0.0,205,0.5
33,2025-04-02T09:00:00,24.2,71,900.11,0.0,214,0.9
34,2025-04-02T10:00:00,26.3,58,900.11,0.0,228,1.4
35,2025-04-02T11:00:00,27.9,48,899.66,0.0,233,1.5
36,2025-04-02T12:00:00,28.8,43,899.08,0.0,231,1.9
37,2025-04-02T13:00:00,27.8,47,898.19,0.43,231,3.1
38,2025-04-02T14:00:00,26.4,59,897.3,0.34,234,4.0
39,2025-04-02T15:00:00,27.3,53,896.46,0.28,240,2.6
40,2025-04-02T16:00:00,24.2,70,896.71,0.48,238,3.8
