,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2025-08-30T00:00:00,20.9,99,954.88,0.91,279,1.4
1,2025-08-30T01:00:00,20.9,100,954.3,0.66,282,1.5
2,2025-08-30T02:00:00,20.7,100,954.21,0.0,290,1.8
3,2025-08-30T03:00:00,20.6,99,953.49,0.02,343,1.3
4,2025-08-30T04:00:00,20.5,99,954.06,0.22,307,1.0
5,2025-08-30T05:00:00,20.9,99,953.91,0.0,320,2.4
6,2025-08-30T06:00:00,20.9,98,954.55,0.0,329,2.1
7,2025-08-30T07:00:00,21.5,98,955.28,0.05,313,2.7
8,2025-08-30T08:00:00,21.8,97,955.92,0.02,302,2.7
9,2025-08-30T09:00:00,23.0,93,956.14,0.3,297,2.7
10,2025-08-30T10:00:00,23.6,89,956.36,0.2,292,3.2
11,2025-08-30T11:00:00,22.1,97,956.05,0.77,291,2.8
12,2025-08-30T12:00:00,24.3,89,955.75,0.13,276,3.9
13,2025-08-30T13:00:00,24.0,90,954.59,1.02,282,3.1
14,2025-08-30T14:00:00,22.4,98,953.95,2.25,305,2.7
15,2025-08-30T15:00:00,23.5,93,953.03,0.31,288,3.5
16,2025-08-30T16:00:00,22.0,99,953.18,2.88,317,2.9
17,2025-08-30T17:00:00,22.0,99,953.29,0.44,299,3.1
18,2025-08-30T18:00:00,21.6,99,953.69,0.0,309,2.8
19,2025-08-30T19:00:00,21.5,99,954.44,0.0,310,2.9
20,2025-08-30T20:00:00,21.5,99,954.96,0.0,306,2.9
21,2025-08-30T21:00:00,21.3,98,955.48,0.43,312,2.7
22,2025-08-30T22:00:00,21.2,99,955.96,0.28,321,2.7
23,2025-08-30T23:00:00,21.2,99,955.51,0.0,319,2.7
24,2025-08-31T00:00:00,21.2,99,955.0,0.0,325,2.4
25,2025-08-31T01:00:00,21.1,99,954.39,0.0,325,2.5
26,2025-08-31T02:00:00,21.2,99,953.75,0.0,325,2.6
27,2025-08-31T03:00:00,21.0,99,953.48,0.0,331,2.4
28,2025-08-31T04:00:00,21.0,98,953.46,0.0,332,2.5
29,2025-08-31T05:00:00,20.8,99,953.85,0.0,327,2.1
30,2025-08-31T06:00:00,21.0,98,953.53,0.0,338,2.2
31,2025-08-31T07:00:00,21.7,99,954.54,0.0,306,2.3
32,2025-08-31T08:00:00,22.1,99,955.64,0.0,303,2.2
33,2025-08-31T09:00:00,23.4,90,955.46,0.0,322,3.6
34,2025-08-31T10:00:00,24.3,86,955.96,0.0,291,3.3
35,2025-08-31T11:00:00,24.2,88,955.4,0.5,297,3.6
36,2025-08-31T12:00:00,25.5,81,954.88,0.41,285,3.6
37,2025-08-31T13:00:00,23.0,93,953.86,1.39,321,3.6
38,2025-08-31T14:00:00,24.2,88,953.15,0.6,296,4.0
39,2025-08-31T15:00:00,23.9,88,951.94,0.53,309,4.4
40,2025-08-31T16:00:00,23.0,93,952.15,0.31,311,3.9
41,2025-08-31T17:00:00,22.2,96,952.15,0.0,309,3.5
42,2025-08-31T18:00:00,21.7,99,952.73,0.0,309,3.1
43,2025-08-31T19:00:00,21.6,99,953.29,0.0,320,3.0
44,2025-08-31T20:00:00,21.7,98,953.59,0.0,323,3.1
45,2025-08-31T21:00:00,21.6,98,954.03,0.0,321,2.8
46,2025-08-31T22:00:00,21.7,99,954.48,0.0,316,2.8
47,2025-08-31T23:00:00,21.7,98,954.22,0.0,318,2.9
48,2025-09-01T00:00:00,21.7,98,953.27,0.0,316,3.0
49,2025-09-01T01:00:00,21.7,98,952.68,0.0,314,3.1
50,2025-09-01T02:00:00,21.3,99,951.88,0.0,317,3.5
51,2025-09-01T03:00:00,21.3,99,951.27,0.0,316,3.5
52,2025-09-01T04:00:00,21.2,99,951.32,0.0,323,3.5
53,2025-09-01T05:00:00,21.3,99,950.76,0.0,330,3.7
54,2025-09-01T06:00:00,21.3,98,951.33,0.0,327,3.2
55,2025-09-01T07:00:00,21.8,96,952.71,0.0,316,3.5
56,2025-09-01T08:00:00,22.6,96,953.46,0.0,317,3.5
57,2025-09-01T09:00:00,23.8,89,954.21,0.0,311,3.9
58,2025-09-01T10:00:00,23.9,87,953.56,0.0,319,4.5
59,2025-09-01T11:00:00,25.3,80,953.18,0.43,321,4.9
60,2025-09-01T12:00:00,25.2,82,952.71,0.52,310,5.2
