,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2025-11-05T00:00:00,18.3,95,900.25,0,317,2.0
1,2025-11-05T01:00:00,18.0,95,899.46,0,317,2.1
2,2025-11-05T02:00:00,17.6,97,898.71,0,320,2.0
3,2025-11-05T03:00:00,17.4,97,898.42,0,317,2.0
4,2025-11-05T04:00:00,17.2,98,898.71,0,312,1.7
5,2025-11-05T05:00:00,17.2,98,899.01,0,306,1.7
6,2025-11-05T06:00:00,17.2,99,899.68,0,303,1.6
7,2025-11-05T07:00:00,18.5,97,900.45,0,314,2.2
8,2025-11-05T08:00:00,20.2,88,900.84,0,319,2.7
9,2025-11-05T09:00:00,22.0,79,901.53,0,312,2.2
10,2025-11-05T10:00:00,23.6,69,901.5,0,299,2.0
11,2025-11-05T11:00:00,24.8,62,900.69,0,290,2.2
12,2025-11-05T12:00:00,25.3,59,899.46,0,287,2.6
13,2025-11-05T13:00:00,25.5,56,898.33,0,274,2.8
14,2025-11-05T14:00:00,25.0,61,897.56,0,262,3.4
15,2025-11-05T15:00:00,23.8,70,897.13,0,247,3.7
16,2025-11-05T16:00:00,22.4,78,897.38,0,240,3.7
17,2025-11-05T17:00:00,21.1,86,897.76,0,240,3.2
18,2025-11-05T18:00:00,19.3,96,898.78,0,247,2.0
19,2025-11-05T19:00:00,18.6,99,899.62,0,260,1.4
20,2025-11-05T20:00:00,18.6,99,900.33,0,288,1.2
21,2025-11-05T21:00:00,18.5,99,900.87,0,314,1.5
22,2025-11-05T22:00:00,17.6,98,900.86,0,308,1.6
23,2025-11-05T23:00:00,16.6,98,900.58,0,292,1.7
24,2025-11-06T00:00:00,16.3,97,900.03,0,293,1.6
25,2025-11-06T01:00:00,15.9,97,899.35,0,300,1.8
26,2025-11-06T02:00:00,15.4,98,898.59,0,308,2.3
27,2025-11-06T03:00:00,15.4,98,898.34,0,313,2.7
28,2025-11-06T04:00:00,15.2,97,898.67,0,314,2.7
29,2025-11-06T05:00:00,14.9,97,899.25,0,318,2.4
30,2025-11-06T06:00:00,14.6,97,899.87,0,322,2.4
31,2025-11-06T07:00:00,16.3,93,900.51,0,329,2.3
32,2025-11-06T08:00:00,19.2,81,901.13,0,333,1.9
33,2025-11-06T09:00:00,21.6,63,901.54,0,340,2.3
34,2025-11-06T10:00:00,23.3,49,901.55,0,339,2.3
35,2025-11-06T11:00:00,24.5,42,901.07,0,335,2.3
36,2025-11-06T12:00:00,25.2,38,899.92,0,325,2.6
37,2025-11-06T13:00:00,25.5,38,898.87,0,315,2.6
38,2025-11-06T14:00:00,25.5,41,898.04,0,309,2.8
39,2025-11-06T15:00:00,25.1,44,897.44,0,306,2.6
40,2025-11-06T16:00:00,24.0,54,897.57,0,295,1.9
41,2025-11-06T17:00:00,21.7,76,898.24,0,263,1.4
42,2025-11-06T18:00:00,19.0,92,899.3,0,248,1.1
43,2025-11-06T19:00:00,17.9,97,900.04,0,248,0.9
44,2025-11-06T20:00:00,17.3,98,900.77,0,251,1.1
45,2025-11-06T21:00:00,16.7,99,901.15,0,261,1.0
46,2025-11-06T22:00:00,16.4,100,900.98,0,262,1.5
47,2025-11-06T23:00:00,16.2,99,900.78,0,262,1.8
48,2025-11-07T00:00:00,15.9,100,900.38,0,305,0.9
49,2025-11-07T01:00:00,15.3,100,899.93,0,10,0.8
50,2025-11-07T02:00:00,14.5,100,899.28,0,360,0.6
51,2025-11-07T03:00:00,13.8,100,899.26,0,349,1.4
52,2025-11-07T04:00:00,13.4,100,899.36,0,341,1.7
53,2025-11-07T05:00:00,13.2,100,899.81,0,342,1.8
54,2025-11-07T06:00:00,12.9,100,900.43,0,345,1.6
55,2025-11-07T07:00:00,15.1,96,901.24,0,344,1.5
56,2025-11-07T08:00:00,20.3,78,901.83,0,355,0.9
57,2025-11-07T09:00:00,22.7,59,902.26,0,14,1.1
58,2025-11-07T10:00:00,24.2,51,902.06,0,28,1.2
59,2025-11-07T11:00:00,25.4,47,901.26,0,42,1.2
60,2025-11-07T12:00:00,26.1,46,900.18,0,49,0.7
61,2025-11-07T13:00:00,26.5,45,899.27,0,71,0.3
62,2025-11-07T14:00:00,26.5,46,898.5,0,244,0.3
63,2025-11-07T15:00:00,26.1,49,898.06,0,253,1.2
64,2025-11-07T16:00:00,24.5,63,898.2,0,254,2.5
65,2025-11-07T17:00:00,21.8,83,898.81,0,251,2.3
66,2025-11-07T18:00:00,19.3,94,899.62,0,248,1.1
67,2025-11-07T19:00:00,18.6,94,900.67,0,264,1.1
68,2025-11-07T20:00:00,18.2,94,901.55,0,261,0.7
69,2025-11-07T21:00:00,17.8,92,901.92,0,314,0.6
70,2025-11-07T22:00:00,17.4,89,901.7,0,331,1.5
71,2025-11-07T23:00:00,17.1,83,901.53,0,338,1.8
72,2025-11-08T00:00:00,16.5,82,901.16,0,347,1.6
