,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2025-03-13T00:00:00,19.1,97,900.69,0.25,1,1.2
1,2025-03-13T01:00:00,19.3,95,899.96,0.13,306,1.2
2,2025-03-13T02:00:00,19.1,95,899.2,0.0,71,0.2
3,2025-03-13T03:00:00,19.4,92,899.07,0.0,199,0.4
4,2025-03-13T04:00:00,19.1,94,899.25,0.0,301,0.4
5,2025-03-13T05:00:00,17.5,100,899.46,0.0,28,0.5
6,2025-03-13T06:00:00,17.3,100,899.91,0.0,46,1.4
7,2025-03-13T07:00:00,18.8,94,900.66,0.0,90,1.0
8,2025-03-13T08:00:00,19.2,93,901.61,0.0,327,1.6
9,2025-03-13T09:00:00,21.5,76,901.7,0.0,60,3.3
10,2025-03-13T10:00:00,24.7,91,901.5,0.0,42,3.5
11,2025-03-13T11:00:00,29.7,33,900.93,0.0,65,4.6
12,2025-03-13T12:00:00,31.0,28,899.88,0.0,64,4.5
13,2025-03-13T13:00:00,32.1,24,898.71,0.0,64,4.3
14,2025-03-13T14:00:00,32.6,20,897.58,0.0,64,4.3
15,2025-03-13T15:00:00,32.6,20,896.67,0.0,67,4.1
16,2025-03-13T16:00:00,31.9,21,896.53,0.0,82,2.7
17,2025-03-13T17:00:00,29.5,30,896.82,0.0,181,1.1
18,2025-03-13T18:00:00,25.3,67,898.03,0.0,222,3.3
19,2025-03-13T19:00:00,23.4,85,898.85,0.0,236,3.3
20,2025-03-13T20:00:00,22.5,92,899.73,0.0,250,1.8
21,2025-03-13T21:00:00,21.6,98,900.45,0.0,256,2.0
22,2025-03-13T22:00:00,21.5,98,900.85,0.0,248,1.5
23,2025-03-13T23:00:00,21.1,98,900.93,0.0,226,1.4
24,2025-03-14T00:00:00,21.0,99,900.39,0.0,245,1.2
25,2025-03-14T01:00:00,21.0,98,899.6,0.0,252,1.2
26,2025-03-14T02:00:00,21.0,96,898.9,0.0,252,1.2
27,2025-03-14T03:00:00,21.0,94,898.58,0.0,250,1.4
28,2025-03-14T04:00:00,20.6,96,898.99,0.0,262,1.3
